mu_alpha,mu_beta,mu_kappa,mu_decay,sigma_alpha,sigma_beta,sigma_kappa,sigma_decay
-0.8398242,0.28575628,-0.034040948,-0.87125567,3.446228,0.90933639,0.62507928,2.8136561
-1.6733117,0.1686299,0.074653506,-1.2203317,3.2672049,1.3538781,0.70666887,2.5192762
0.42168633,0.36680975,0.10887466,-0.48418429,2.5973087,0.53771075,0.75559345,2.5748658
0.52353865,-0.056065383,0.020860531,-0.47935833,1.5499644,0.84380076,0.804808,2.5180072
0.53261006,0.09139056,-0.059806651,-1.8015616,1.6520106,0.58582366,0.60163338,4.1126288
0.18095828,-0.03246385,-0.084837349,-1.0585711,2.35443,0.79828152,0.70503211,2.8681314
-0.9115973,-0.066658512,0.0086078319,-0.51389312,3.4089529,0.61514176,0.86345422,4.1502274
0.19221762,0.36668328,0.30707962,0.97833231,3.1391267,0.72034511,0.69700477,1.2403926
0.38339527,-0.39014813,0.11442567,0.93894972,4.2504039,0.86167348,0.61576495,3.9007148
0.65129924,-0.12762206,0.15607791,0.45488822,2.5281321,1.2677244,0.62302043,3.3583038
-0.057418444,0.35881574,0.18405227,-0.21260069,2.5793141,0.89086255,0.60988501,3.1420049
-0.82103331,-0.028113906,0.10957026,-1.7606962,2.0256675,1.131221,0.56842012,3.1602884
-1.0629643,0.18313514,0.069609391,-1.3202281,1.997512,0.64466393,0.38939759,3.3857466
-0.58612984,0.31140562,-0.070829356,0.57650847,4.5927733,0.98971227,0.46866792,1.4674292
-1.36568,0.47386595,-0.13854767,-2.9144638,3.1712749,0.42344002,0.64607061,5.3777175
0.22211978,-0.030861618,-0.053247137,-2.4444694,4.0286535,0.45148207,0.5374704,4.563345
0.15027472,0.037916794,-0.092357911,0.11888212,2.0057259,0.46222516,0.7119051,3.1136824
-1.9983737,0.48885352,-0.030383935,0.92676556,2.9546308,0.60676457,0.56783286,1.910325
-2.7582696,0.8167627,-0.038831717,-0.20315735,2.9395689,1.0455582,0.54943944,2.2934307
-0.8863047,0.68095212,0.027184451,0.48749002,2.8136793,1.3611612,0.38302076,3.234347
0.10576832,-0.0034352764,0.23473193,-0.44464495,2.3348558,1.9401984,0.64762787,4.1534856
1.7927981,0.16971677,0.080970142,0.22551384,3.3135196,1.1669768,0.44232102,3.2753647
0.35121888,0.25135408,0.10936907,-0.80573865,3.0966973,1.7134568,0.63646046,3.5003833
0.081665287,0.13221366,-0.043216245,0.021970828,2.3434593,2.2432073,0.54705722,3.1549566000000002
-2.2290511,0.49192566,0.17821798,-0.14767511,3.2648198,1.8640316,0.52755471,2.1492231
-3.274399,0.22536185,0.20459739,0.11588322,2.9726259,1.8417443,0.55927252,2.3345307
-3.9444775,0.29720406,0.1724503,0.46081398,2.7827445,1.4342653,0.49220697,2.0661141
-3.6400568,0.33772845,0.22032419,-0.1842595,2.850985,1.6560313,0.51992789,2.405236
