alpha,beta,p_stay_noreward,p_stay_reward
-1.0258234,0.73337772,0.26389464,0.42740524
-0.95898148,0.70490203,0.27708217,0.43681967
-0.98919714,0.68516773,0.27107069,0.42457276
-0.97350642,0.72394027,0.27418215,0.43793029
-0.9862153,0.76853452,0.27166027,0.44579368
-0.96185659,0.63270642,0.27650663,0.41844742
-0.97916563,0.61390703,0.27305737,0.4096872
-0.97916563,0.61390703,0.27305737,0.4096872
-0.97036952,0.77035007,0.27480686,0.45016119
-0.98883469,0.67520552,0.27114231,0.42222915
-0.98976763,0.67541733,0.27095798,0.42205324
-0.92830813,0.71351613,0.28326809,0.4465075
-0.954501,0.57682781,0.27798054,0.40668822
-0.89521491,0.65111121,0.29003483,0.43927531
-0.97783944,0.64238824,0.2733207,0.41691486
-0.96336552,0.64303651,0.27620487,0.42059557
-0.96855808,0.68181591,0.275168,0.42880162
-0.96855808,0.68181591,0.275168,0.42880162
-0.91338927,0.6673005,0.28630679,0.43878642
-0.94994295,0.73856367,0.2788963,0.44735107
-0.92487104,0.66332911,0.28396643,0.43498471
-0.98103878,0.64811112,0.27268572,0.41752845
-0.99297589,0.72412575,0.27032468,0.43318941
-0.98777128,0.71220752,0.27135252,0.43154171
-0.98886344,0.70700139,0.27113663,0.42999733
-0.98886344,0.70700139,0.27113663,0.42999733
-0.94903796,0.71712741,0.27907834,0.44228082
-1.0624607,0.70335665,0.2568395,0.41117648
-1.0626117,0.70614631,0.25681067,0.41181546
-1.0403904,0.72961146,0.26107468,0.42292463
-1.0131736,0.70013637,0.26635924,0.42237357
-0.98015464,0.74350006,0.2728611,0.44111094
-0.98227412,0.62669744,0.27244078,0.41203075
-0.93361709,0.62079943,0.28219146,0.42242713
-0.93862421,0.60881421,0.28117833,0.41828685
-0.9377508,0.65970004,0.28135489,0.43093172
-0.93139977,0.66200382,0.28264082,0.43305539
-1.0522227,0.77262081,0.25879852,0.43055139
-0.89867967,0.5951678,0.2893219,0.4246992
-0.97545102,0.69100055,0.27379533,0.42936302
-0.97409287,0.62347106,0.27406546,0.41323164
-0.95143409,0.72205278,0.27859651,0.4429048
-1.0254443,0.73385492,0.26396827,0.42761479
-1.0007052,0.75514813,0.2688028,0.43891736
-0.98465766,0.73232474,0.27196858,0.43724937
-0.93552335,0.62387176,0.28180549,0.42271165
-1.0986711,0.81439906,0.24998897,0.42940674
-0.91782873,0.65997295,0.28540051,0.43589088
-0.89242448,0.59029437,0.29060975,0.42503684
-0.9151298,0.62393937,0.28595127,0.42771245
-0.91326779,0.60678233,0.28633161,0.42397283
-0.96555252,0.67695035,0.27576787,0.42834611
-0.9955506,0.6978711,0.26981713,0.42612485
-0.93925596,0.66667991,0.28105066,0.43227479
-0.90706199,0.58620073,0.28760142,0.42046587
-0.93700834,0.62683573,0.28150504,0.42307261
-0.95799324,0.62484194,0.27728016,0.41747406
-0.99153739,0.7180172,0.27060852,0.4320431
-0.93219592,0.64443782,0.28247942,0.42855281
-0.93628536,0.6315069,0.28165129,0.42438977
-0.88708835,0.54807852,0.29171106,0.41605002
-0.89221282,0.53729225,0.29065339,0.41218971
-0.97085675,0.72701143,0.27470977,0.43933895
-1.0054826,0.6929494,0.26786484,0.42249653
-0.90490864,0.64208059,0.28804282,0.43466864
-0.92902751,0.61411799,0.28312205,0.42191684
-0.90952412,0.64240868,0.28709723,0.43361539
-0.97527702,0.68000909,0.27382993,0.42671468
-0.96099604,0.69079977,0.27667882,0.43285891
-0.97124366,0.64418487,0.27463268,0.41895644
-0.91654095,0.66396165,0.28566322,0.43718875
-0.95086776,0.65157632,0.27871034,0.42573071
-0.94977184,0.62559563,0.27893071,0.41965831
-0.98502507,0.71626444,0.27189584,0.43321138
-1.0145884,0.72818102,0.26608286,0.42888363
-1.0552721,0.7480719,0.25821399,0.42379828
-1.0028435,0.7439448,0.26838272,0.43563445
-0.93078766,0.61904949,0.28276494,0.42269053
-0.93932806,0.66517869,0.28103609,0.43188872
-0.97938752,0.65646994,0.27301333,0.41996488
-0.98160659,0.74734713,0.27257312,0.4417015
-0.93206148,0.72690199,0.28250667,0.44888927
-1.029386,0.67061349,0.26320316,0.41125674
-1.0037394,0.72786896,0.26820685,0.43146649
-0.98074815,0.66912664,0.27274336,0.422719
-0.93503774,0.60421603,0.28190378,0.4180407
-0.89677946,0.60554442,0.28971277,0.42770153
-0.93438417,0.61865079,0.28203611,0.42171591
-0.97087805,0.64640274,0.27470552,0.41958547
-1.0289262,0.76850287,0.26329234,0.43525965
-1.027029,0.75935954,0.26366051,0.43347934
-0.94014802,0.63022223,0.28087044,0.42313285
-0.92701976,0.63172681,0.28352973,0.42670856
-0.9212998,0.62637735,0.28469312,0.4267992
-1.02221,0.75079903,0.26459715,0.43256075
-1.0005114,0.7289512,0.26884089,0.43252411
-0.95774646,0.67480218,0.27732962,0.42973209
-0.97700529,0.6941443,0.2734864,0.42975251
-0.94521458,0.66672518,0.27984823,0.43082416
-0.93656941,0.71284898,0.28159383,0.44430201
-0.9516092,0.70374607,0.27856131,0.43834953
-0.93720634,0.69242459,0.28146499,0.4391083
-0.91478672,0.70775262,0.28602133,0.44842556
-0.94492516,0.63282742,0.27990656,0.42260279
-1.0038424,0.7189729,0.26818663,0.42926036
-0.98715932,0.70488881,0.27147353,0.42989722
-0.96757492,0.71713476,0.27536414,0.43771516
-1.0237591,0.62719019,0.26429581,0.40213697
-0.9992686,0.74405324,0.26908525,0.43654024
-0.99591855,0.73633905,0.26974464,0.43546708
-1.0150596,0.78745006,0.26599085,0.44334201
-1.0621623,0.76456133,0.25689645,0.42614404
-0.99599822,0.73831539,0.26972895,0.4359334
-1.0115207,0.73516772,0.26668235,0.43134812
-1.0072386,0.73787583,0.26752061,0.43306355
-1.0167027,0.71364766,0.26567018,0.42481083
-0.91098191,0.6346947,0.28679895,0.43136425
-0.99365799,0.68906118,0.27019016,0.42443414
-0.98382488,0.71298097,0.2721335,0.43269993
-0.98690176,0.70701766,0.27152447,0.43048219
-0.98882075,0.7040105,0.27114506,0.42927488
-0.95492081,0.67659546,0.27789629,0.43086439
-0.87657143,0.63164144,0.29388877,0.43907179
-0.89901438,0.65841905,0.28925308,0.44013965
-0.94156719,0.69028255,0.28058389,0.43750733
-1.0170973,0.75308637,0.2655932,0.43437799
-0.89015217,0.56104239,0.29107843,0.41845724
-0.97218296,0.70552119,0.27444561,0.43372681
-0.97787891,0.70113953,0.27331286,0.43125334
-1.0472595,0.74236179,0.2597517,0.42436063
-1.000826,0.78003846,0.26877905,0.44502625
-1.0032102,0.72588852,0.26831073,0.43111053
-1.0348539,0.74393058,0.26214415,0.42777784
-0.96801209,0.72920413,0.27527691,0.44058013
-0.9520786,0.68203224,0.27846699,0.43289571
-0.98714102,0.64604079,0.27147715,0.41554224
-0.93283123,0.63911533,0.28235067,0.4270944
-0.95988091,0.62552246,0.27690204,0.41718053
-0.95027023,0.64208095,0.27883048,0.42355678
-0.9226874,0.63324917,0.28441064,0.42814141
-0.88508188,0.58061738,0.2921258,0.42446646
-0.92855887,0.62662733,0.28321718,0.42508537
-0.93468748,0.67905276,0.28197469,0.43643709
-0.99755417,0.67876365,0.26942257,0.42097054
-0.95869776,0.70047605,0.277139,0.4358009
-0.97446582,0.67008647,0.27399126,0.42448727000000003
-0.92284562,0.69212478,0.28437843,0.4425743
-0.91875285,0.69087204,0.28521208,0.44327506
-0.90239363,0.6556789,0.28855885,0.43863228
-0.9539026,0.61136707,0.27810065,0.4151937
-1.0144509,0.75191266,0.26610971,0.43473985
-0.96824837,0.72036647,0.27522978,0.43834491
