participant,block_number,trial_number,choice,E1,E2,E3
60e46e6f6bc0c2cdf5d077ce,6,15,3,-1.238848798104152,-0.7294571170657246,-0.40318600132621796
60e46e6f6bc0c2cdf5d077ce,6,16,1,-0.7878634604632838,-0.4709937185213521,-1.1321936282656044
60e46e6f6bc0c2cdf5d077ce,6,17,2,-1.3632056338420262,-0.30212755596490604,-0.7105705649337222
60e46e6f6bc0c2cdf5d077ce,6,18,3,-0.8672325694551654,-1.081071389432958,-0.4593778551953378
60e46e6f6bc0c2cdf5d077ce,6,19,2,-0.5610369306208828,-0.6739406701284579,-1.1689822836562391
60e46e6f6bc0c2cdf5d077ce,6,20,1,-0.3624006728628889,-1.3016074257158987,-0.7336032691882494
60e46e6f6bc0c2cdf5d077ce,6,21,3,-1.1105113479827942,-0.8195030051623142,-0.4746166201922608
60e46e6f6bc0c2cdf5d077ce,6,22,2,-0.6953945596513718,-0.5303166838525084,-1.1788183385010225
60e46e6f6bc0c2cdf5d077ce,6,23,1,-0.4492842071484438,-1.2142675429851781,-0.7394447545515338
60e46e6f6bc0c2cdf5d077ce,6,24,3,-1.1636301974831387,-0.7623734862787509,-0.47854926621098853
60e46e6f6bc0c2cdf5d077ce,6,25,2,-0.729067086966862,-0.4918985332451179,-1.1825104985871833
60e6b55696dade249aa3249b,1,1,3,0,0,0
60e6b55696dade249aa3249b,1,2,3,0,0,1.5852475352474662
60e6b55696dade249aa3249b,1,3,3,0,0,2.090096817631305
60e6b55696dade249aa3249b,1,4,3,0,0,2.2608138599267833
60e6b55696dade249aa3249b,1,5,3,0,0,2.3170759145525133
60e6b55696dade249aa3249b,1,6,2,0,0,2.338234709659624
60e6b55696dade249aa3249b,1,7,2,0,1.5852475352474662,0.750480913059381
60e6b55696dade249aa3249b,1,8,2,0,2.090096817631305,0.24191693973652184
60e6b55696dade249aa3249b,1,9,1,0,2.2608138599267833,0.07764272972002405
60e6b55696dade249aa3249b,1,10,1,1.5852475352474662,0.7272437825794813,0.02497262192111155
60e6b55696dade249aa3249b,1,11,3,2.090096817631305,0.23467193154122784,0.007979080263266242
60e6b55696dade249aa3249b,1,12,3,0.6740564620421343,0.07529228438700622,1.5891224248426765
